DBN,Year,Number Tested,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %
02M225,2007,110,5.5,49.1,42.7,2.7,45.5
02M225,2008,115,2.6,39.1,53,5.2,58.3
02M225,2009,116,2.6,22.4,69.8,5.2,75
02M225,2010,134,4.5,41,44.8,9.7,54.5
02M225,2011,135,1.5,34.1,49.6,14.8,64.4
02M234,2006,303,0,4,48.8,47.2,96
02M234,2007,310,0.3,2.3,53.5,43.9,97.4
02M234,2008,334,0,1.2,50,48.8,98.8
02M234,2009,342,0,0.6,38.3,61.1,99.4
02M234,2010,358,0,8.9,39.7,51.4,91.1
02M234,2011,385,0.5,8.3,40.5,50.6,91.2
02M255,2006,329,2.4,5.2,57.4,35,92.4
02M255,2007,353,1.7,4.2,57.5,36.5,94.1
02M255,2008,377,1.1,2.9,46.4,49.6,96
02M255,2009,401,0.7,2.2,45.9,51.1,97
02M255,2010,396,3.3,9.8,44.9,41.9,86.9
02M255,2011,371,1.1,5.1,22.9,70.9,93.8
02M260,2006,231,4.8,15.2,57.6,22.5,80.1
02M260,2007,233,1.7,9,54.5,34.8,89.3
02M260,2008,223,1.3,3.1,43,52.5,95.5
02M260,2009,252,0.4,2.4,47.6,49.6,97.2
02M260,2010,246,2.8,13.4,32.5,51.2,83.7
02M260,2011,252,0.8,11.9,35.3,52,87.3
02M276,2011,60,1.7,13.3,30,55,85
02M289,2006,290,3.4,9.7,62.8,24.1,86.9
02M289,2007,285,4.6,9.8,59.3,26.3,85.6
02M289,2008,281,1.1,6,64.4,28.5,92.9
02M289,2009,286,0,8,54.9,37.1,92
02M289,2010,291,3.4,14.4,40.2,41.9,82.1
02M289,2011,265,0.4,12.1,39.2,48.3,87.5
02M290,2006,323,1.2,6.2,55.7,36.8,92.6
02M290,2007,311,0.6,2.9,45.3,51.1,96.5
02M290,2008,330,0.6,1.8,42.4,55.2,97.6
02M290,2009,319,0,1.3,45.5,53.3,98.7
02M290,2010,285,0,9.8,38.2,51.9,90.2
02M290,2011,282,0.4,6.7,37.6,55.3,92.9
02M312,2006,570,0.5,4.9,42.8,51.8,94.6
