DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M001,2009,542,40.8,10.9,70.5,10.3,15.7,1.8,55.2,44.8,2.9,3.7,39.3,54.1,93.4,,,
02M001,2010,544,43,11.9,68.8,11.6,16.7,1.8,56.4,43.6,5.2,16.1,40.9,37.8,78.7,,,
02M001,2011,518,38.2,13.7,70.7,12.7,15.6,0.4,53.5,46.5,4.9,19.9,36.7,38.5,75.2,,,
02M002,2005,717,38.9,9.8,84,5.6,8.9,1.1,52,48,,,,,,,,
02M002,2006,708,41.8,9.7,83.3,5.4,9,1.3,53.4,46.6,5.2,10.4,46.7,37.8,84.4,,,
02M002,2007,726,47,10.9,83.6,5.4,8.4,1.5,53.4,46.6,3.7,3.4,53.6,39.3,92.8,,,
02M002,2008,738,39.4,11,83.6,5.1,8.4,1.9,54.5,45.5,2.4,4,45.3,48.3,93.6,,,
02M002,2009,799,47.3,11.5,84,5.5,7.8,2.1,54.6,45.4,0.8,5.2,41.7,52.2,93.9,,,
02M002,2010,832,46.4,11.1,82.7,7.8,7.3,2.2,53.2,46.8,3.3,14.6,37.1,45,82.1,,,
02M002,2011,816,45.6,11.2,83.2,6.1,8.2,2.5,51.7,48.3,2.7,12.9,38.5,45.9,84.4,,,
02M003,2005,563,3.7,18.8,6.7,20.2,18.8,52,52.6,47.4,,,,,,,,
02M003,2006,551,3.6,19.4,6.5,17.4,17.1,55.5,57.9,42.1,3.5,12,52.1,32.4,84.6,,,
02M003,2007,585,6.2,16.8,8.9,12.3,17.1,53.7,55.2,44.8,0.9,6.1,53.5,39.4,93,,,
